Name,Rank,Headquarter,CEO,Market Capitalization,Total No. Of Employee,Sectors,url
SAUDI ARABIAN OIL COMPANY (Saudi Aramco),1,Saudi Arabia,Amin H. Al-Nasser,1898.10 Billion USD,"79,000","Energy, Oil and Gas, Chemicals, Oil Refining, Oil and Gas Pipeline Transport",https://value.today/company/saudi-arabian-oil-company
APPLE,2,USA,Tim Cook,1323.00 Billion USD,"147,000","Technology, Mobiles & Accessories, Electronics, Consumer Electronics, Computers Hardware, Software and IT, Music, Tablets, Technology Hardware, Retail, Artificial Intelligence, Laptops, Software Products",https://value.today/company/apple
MICROSOFT CORPORATION,3,USA,Satya Nadella,1215.00 Billion USD,"156,439","Technology, Software and IT, Laptops, Video Games / Mobile Games / Tech Games, Gaming, Internet or Mobile App Based Business, Computers Hardware, Tablets, Cloud Services, Artificial Intelligence, Internet of Things, Media, Electronics, Consumer Electronics, Advertising",https://value.today/company/microsoft-corporation
ALPHABET,4,USA,Sundar Pichai,943.90 Billion USD,"135,301","Technology, Internet or Mobile App Based Business, Software and IT, Software Products, Cloud Services, Artificial Intelligence, Internet of Things, Gaming, Video Games / Mobile Games / Tech Games, Advertising, Media",https://value.today/company/alphabet
AMAZON.COM,5,USA,Jeff Bezos,941.03 Billion USD,"1,298,000","eCommerce, Internet or Mobile App Based Business, Cloud Services, Software and IT, Artificial Intelligence, Technology, Consulting Services, Consumer Services, Software Products, Retail",https://value.today/company/amazon.com
FACEBOOK,6,USA,Mark Zuckerberg,598.24 Billion USD,"58,604","Communication Services, Internet or Mobile App Based Business, Social Media, Artificial Intelligence, Internet of Things, Advertising, Technology, Media, Software and IT, Software Products",https://value.today/company/facebook
ALIBABA GROUP HOLDING,7,China,Daniel Zhang,591.59 Billion USD,"117,600","eCommerce, Internet or Mobile App Based Business, Technology, Software and IT, Business Services, Software Products, Retail, B2B Services",https://value.today/company/alibaba-group-holding
BERKSHIRE HATHAWAY,8,USA,Warren Buffett,555.39 Billion USD,"391,500","Financial Services, Investments, Insurance",https://value.today/company/berkshire-hathaway
TENCENT,9,China,Ma Huateng,478.59 Billion USD,"62,885","Communication Services, Investments, Internet or Mobile App Based Business, Advertising, Media, Gaming, Video Games / Mobile Games / Tech Games, Artificial Intelligence, Software and IT, Software Products, Technology",https://value.today/company/tencent
J P MORGAN CHASE & CO,10,USA,Jamie Dimon,438.07 Billion USD,"256,981","Financial Services, Banking Services, Credit Cards, Asset Management",https://value.today/company/j-p-morgan-chase-co
VISA,11,USA,Alfred F Kelly Jr,421.52 Billion USD,"20,500","Financial Services, Technology, Software and IT, Credit Cards, Digital Payment Solution Services, Business Services, Software Products, Artificial Intelligence",https://value.today/company/visa
JOHNSON & JOHNSON,12,USA,Alex Gorsky,383.15 Billion USD,"132,200","Healthcare, Medical Equipment, Pharmaceutical, FMCG, Biotechnology, Technology, HealthCare Products",https://value.today/company/johnson-johnson
WALMART,13,USA,Doug McMillon,337.45 Billion USD,"2,200,000","Retail, Super Markets, eCommerce, Hypermarkets, Consumer Services",https://value.today/company/walmart
SAMSUNG ELECTRONICS,14,South Korea,"Kim Hyun Suk, Koh Dong-Jin, Kim Ki Nam",320.01 Billion USD,"287,439","Technology, Electronics, Semi Conductors, Mobiles & Accessories, Cameras & Accessories, Tablets, Home Appliances, Refrigerators, Air Conditioners, Washing Machines, TV's, Consumer Electronics",https://value.today/company/samsung-electronics
BANK OF AMERICA CORPORATION,15,USA,Brian Moynihan,317.98 Billion USD,"208,000","Financial Services, Banking Services, Investment Banking, Insurance, Credit Cards, Wealth Management, Asset Management, Mortgage",https://value.today/company/bank-america-corporation
NESTLE AG,16,Switzerland,Ulf Mark Schneider,311.59 Billion USD,"291,000","Consumer Defensive, FMCG, Food Products, Beverages, Dairy Products, Non-Alcoholic Beverages, Chocolate & Confectionery, Coffee, Consumer Non Durables, Food and Beverage, Package Foods",https://value.today/company/nestle-ag
PROCTER & GAMBLE COMPANY,17,USA,David S. Taylor,307.76 Billion USD,"99,000","Consumer Defensive, FMCG, Consumer Non Durables, Beauty and Personal Care, Personal Care Products, HealthCare Products",https://value.today/company/procter-gamble-company
